modelname,loss
GAT-0,"tensor(116.8043, device='cuda:6', dtype=torch.float64)"
GAT-1,"tensor(118.3346, device='cuda:6', dtype=torch.float64)"
GAT-10,"tensor(75.2631, device='cuda:6', dtype=torch.float64)"
GAT-11,"tensor(99.1023, device='cuda:6', dtype=torch.float64)"
GAT-12,"tensor(117.1613, device='cuda:6', dtype=torch.float64)"
GAT-13,"tensor(153.4992, device='cuda:6', dtype=torch.float64)"
GAT-14,"tensor(166.4133, device='cuda:6', dtype=torch.float64)"
GAT-15,"tensor(116.9662, device='cuda:6', dtype=torch.float64)"
GAT-2,"tensor(118.1523, device='cuda:6', dtype=torch.float64)"
GAT-3,"tensor(118.5532, device='cuda:6', dtype=torch.float64)"
GAT-4,"tensor(108.0203, device='cuda:6', dtype=torch.float64)"
GAT-5,"tensor(95.6740, device='cuda:6', dtype=torch.float64)"
GAT-6,"tensor(114.7719, device='cuda:6', dtype=torch.float64)"
GAT-7,"tensor(123.5148, device='cuda:6', dtype=torch.float64)"
GAT-8,"tensor(113.3898, device='cuda:6', dtype=torch.float64)"
GAT-9,"tensor(112.3270, device='cuda:6', dtype=torch.float64)"
