modelname,loss
Transformer-LPE-0,"tensor(112.2164, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-1,"tensor(114.0904, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-10,"tensor(115.2230, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-11,"tensor(117.3842, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-12,"tensor(114.1461, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-13,"tensor(112.6683, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-14,"tensor(109.4970, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-15,"tensor(108.4382, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-2,"tensor(114.0267, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-3,"tensor(112.8373, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-4,"tensor(111.9106, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-5,"tensor(112.1834, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-6,"tensor(117.7451, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-7,"tensor(110.3066, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-8,"tensor(116.3251, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-9,"tensor(112.5205, device='cuda:7', dtype=torch.float64)"
