modelname,loss
GAT-0,"tensor(0.0863, device='cuda:7', dtype=torch.float64)"
GAT-1,"tensor(0.0847, device='cuda:7', dtype=torch.float64)"
GAT-10,"tensor(0.0863, device='cuda:7', dtype=torch.float64)"
GAT-11,"tensor(0.0839, device='cuda:7', dtype=torch.float64)"
GAT-12,"tensor(0.0844, device='cuda:7', dtype=torch.float64)"
GAT-13,"tensor(0.0862, device='cuda:7', dtype=torch.float64)"
GAT-14,"tensor(0.0871, device='cuda:7', dtype=torch.float64)"
GAT-15,"tensor(0.0839, device='cuda:7', dtype=torch.float64)"
GAT-2,"tensor(0.0841, device='cuda:7', dtype=torch.float64)"
GAT-3,"tensor(0.0836, device='cuda:7', dtype=torch.float64)"
GAT-4,"tensor(0.0848, device='cuda:7', dtype=torch.float64)"
GAT-5,"tensor(0.0844, device='cuda:7', dtype=torch.float64)"
GAT-6,"tensor(0.0849, device='cuda:7', dtype=torch.float64)"
GAT-7,"tensor(0.0836, device='cuda:7', dtype=torch.float64)"
GAT-8,"tensor(0.0853, device='cuda:7', dtype=torch.float64)"
GAT-9,"tensor(0.0833, device='cuda:7', dtype=torch.float64)"
