modelname,loss
Transformer-LPE-0,"tensor(0.1187, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-1,"tensor(0.1525, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-10,"tensor(0.1376, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-11,"tensor(0.1329, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-12,"tensor(0.1206, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-13,"tensor(0.1090, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-14,"tensor(0.1025, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-15,"tensor(0.1233, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-2,"tensor(0.1565, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-3,"tensor(0.1359, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-4,"tensor(0.1009, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-5,"tensor(0.1432, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-6,"tensor(0.1450, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-7,"tensor(0.1713, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-8,"tensor(0.1186, device='cuda:7', dtype=torch.float64)"
Transformer-LPE-9,"tensor(0.1268, device='cuda:7', dtype=torch.float64)"
