modelname,loss
GAT-0,"tensor(0.6823, device='cuda:7', dtype=torch.float64)"
GAT-1,"tensor(0.6634, device='cuda:7', dtype=torch.float64)"
GAT-10,"tensor(0.8353, device='cuda:7', dtype=torch.float64)"
GAT-11,"tensor(0.8232, device='cuda:7', dtype=torch.float64)"
GAT-12,"tensor(0.8368, device='cuda:7', dtype=torch.float64)"
GAT-13,"tensor(0.8366, device='cuda:7', dtype=torch.float64)"
GAT-14,"tensor(0.8372, device='cuda:7', dtype=torch.float64)"
GAT-15,"tensor(0.8859, device='cuda:7', dtype=torch.float64)"
GAT-16,"tensor(0.8800, device='cuda:7', dtype=torch.float64)"
GAT-17,"tensor(0.8890, device='cuda:7', dtype=torch.float64)"
GAT-18,"tensor(0.8822, device='cuda:7', dtype=torch.float64)"
GAT-19,"tensor(0.8844, device='cuda:7', dtype=torch.float64)"
GAT-2,"tensor(0.6625, device='cuda:7', dtype=torch.float64)"
GAT-20,"tensor(0.9174, device='cuda:7', dtype=torch.float64)"
GAT-21,"tensor(0.9073, device='cuda:7', dtype=torch.float64)"
GAT-22,"tensor(0.9207, device='cuda:7', dtype=torch.float64)"
GAT-23,"tensor(0.9174, device='cuda:7', dtype=torch.float64)"
GAT-24,"tensor(0.9170, device='cuda:7', dtype=torch.float64)"
GAT-3,"tensor(0.6793, device='cuda:7', dtype=torch.float64)"
GAT-4,"tensor(0.6784, device='cuda:7', dtype=torch.float64)"
GAT-5,"tensor(0.7798, device='cuda:7', dtype=torch.float64)"
GAT-6,"tensor(0.7720, device='cuda:7', dtype=torch.float64)"
GAT-7,"tensor(0.7604, device='cuda:7', dtype=torch.float64)"
GAT-8,"tensor(0.7665, device='cuda:7', dtype=torch.float64)"
GAT-9,"tensor(0.7702, device='cuda:7', dtype=torch.float64)"
