modelname,loss
GAT-0,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-1,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-10,"tensor(0.3149, device='cuda:5', dtype=torch.float64)"
GAT-11,"tensor(0.3090, device='cuda:5', dtype=torch.float64)"
GAT-12,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-13,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-14,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-15,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-16,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-17,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-18,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-19,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-2,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-20,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-21,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-22,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-23,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-24,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-25,"tensor(0.3120, device='cuda:5', dtype=torch.float64)"
GAT-26,"tensor(0.3113, device='cuda:5', dtype=torch.float64)"
GAT-27,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-28,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-29,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-3,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-30,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-31,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-32,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-33,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-34,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-35,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-36,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-37,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-38,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-39,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-4,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-40,"tensor(0.3126, device='cuda:5', dtype=torch.float64)"
GAT-41,"tensor(0.3181, device='cuda:5', dtype=torch.float64)"
GAT-42,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-43,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-44,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-45,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-46,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-47,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-48,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-49,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-5,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-50,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-51,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-52,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-53,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-54,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-55,"tensor(0.3093, device='cuda:5', dtype=torch.float64)"
GAT-56,"tensor(0.3148, device='cuda:5', dtype=torch.float64)"
GAT-57,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-58,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-59,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-6,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-60,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-61,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-62,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-63,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-64,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-65,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-66,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-67,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-68,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-69,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-7,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-70,"tensor(0.3143, device='cuda:5', dtype=torch.float64)"
GAT-71,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-72,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-73,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-74,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-8,"tensor(1., device='cuda:5', dtype=torch.float64)"
GAT-9,"tensor(1., device='cuda:5', dtype=torch.float64)"
